horizon_k,AUC,полнота_TPR,точность_PPV,ложные_тревоги_FPR,доля_тревог,событий,наблюдений
1,0.6162,0.3077,0.2174,0.1832,0.2009,65,458
2,0.6254,0.3385,0.2391,0.1781,0.2009,65,458
3,0.6321,0.3538,0.25,0.1756,0.2009,65,458
4,0.6277,0.3385,0.2391,0.1781,0.2009,65,458
5,0.6034,0.2769,0.1957,0.1883,0.2009,65,458
6,0.6048,0.3077,0.2174,0.1832,0.2009,65,458
7,0.6122,0.3077,0.2174,0.1832,0.2009,65,458
8,0.6502,0.3385,0.2391,0.1781,0.2009,65,458
9,0.6822,0.3692,0.2609,0.173,0.2009,65,458
10,0.7045,0.3692,0.2609,0.173,0.2009,65,458
11,0.7529,0.4308,0.3043,0.1628,0.2009,65,458
12,0.7715,0.5077,0.3587,0.1501,0.2009,65,458
13,0.7589,0.4769,0.337,0.1552,0.2009,65,458
14,0.7867,0.4923,0.3478,0.1527,0.2009,65,458
15,0.7609,0.5077,0.3587,0.1501,0.2009,65,458
16,0.7772,0.5538,0.3913,0.1425,0.2009,65,458
17,0.7728,0.5231,0.3696,0.1476,0.2009,65,458
18,0.7723,0.5231,0.3696,0.1476,0.2009,65,458
19,0.7674,0.5077,0.3587,0.1501,0.2009,65,458
20,0.7743,0.5385,0.3804,0.145,0.2009,65,458
21,0.7773,0.5692,0.4022,0.1399,0.2009,65,458
22,0.776,0.5231,0.3696,0.1476,0.2009,65,458
23,0.7768,0.5538,0.3913,0.1425,0.2009,65,458
