year,harvest_true,harvest_pred,harvest_base,ошибка_%,horizon_k
2018,112476.3319,120066.98327324375,120066.98327324375,6.7486654703430515,1
2019,119576.7158,120688.34425973856,120688.34425973856,0.9296362191430596,1
2020,132498.4,131697.14434553214,131697.14434553214,-0.6047285510374811,1
2021,117548.73689100001,124351.187240249,124351.187240249,5.786919135980795,1
2022,127484.86680398165,104450.19778709028,104450.19778709028,-18.068551659789588,1
2023,142063.74136352964,144504.2431622586,144504.2431622586,1.7178921062510177,1
2024,123789.40193066876,144419.9965600774,144419.9965600774,16.66588117209202,1
2018,112476.3319,120369.47281934455,121359.68553061355,7.017601646506533,2
2019,119576.7158,120642.04869234511,120571.92071609406,0.890920013330132,2
2020,132498.4,131864.00488028958,131943.8975619893,-0.4787945512628178,2
2021,117548.73689100001,123779.60626920563,123512.36984114125,5.300668933587405,2
2022,127484.86680398165,105268.490731432,105448.78574989,-17.42667708686486,2
2023,142063.74136352964,144568.63431416682,144947.346503216,1.7632176420212309,2
2024,123789.40193066876,147490.58282884504,146766.30207943008,19.146373218161838,2
2018,112476.3319,120261.84359375485,121487.06757949026,6.921911092083577,3
2019,119576.7158,120061.06396307597,119775.51286645306,0.40505223766647,3
2020,132498.4,132783.82029880583,131075.9684177952,0.21541414749599586,3
2021,117548.73689100001,123610.1599156039,125220.69052445427,5.156519061727138,3
2022,127484.86680398165,105743.1095779814,105814.29478500198,-17.054382822888282,3
2023,142063.74136352964,146306.82643734018,145427.32754222173,2.9867473804964906,3
2024,123789.40193066876,149203.58912449953,148041.0483938205,20.53018012645751,3
2018,112476.3319,120159.91484463915,121204.75199783228,6.831288694114268,4
2019,119576.7158,120182.7497068686,119596.63958732817,0.5068159823708784,4
2020,132498.4,131798.90500997665,130420.78453028764,-0.5279271221564574,4
2021,117548.73689100001,123723.2189141059,126618.8295371445,5.252699592026522,4
2022,127484.86680398165,104939.98006091402,105609.60409824374,-17.684363099921676,4
2023,142063.74136352964,145881.92355214932,144818.846000511,2.687654254331706,4
2024,123789.40193066876,148997.60314952282,147936.89477671336,20.3637797951173,4
2018,112476.3319,119004.04600525551,121008.01293550721,5.803633524481522,5
2019,119576.7158,119926.58603540814,119949.28541423059,0.2925906043391491,5
2020,132498.4,131610.46130076182,130276.274664649,-0.6701505069028557,5
2021,117548.73689100001,123952.12542636224,127447.75104768503,5.447432873140889,5
2022,127484.86680398165,105396.23981798,105755.13746449022,-17.32646983109354,5
2023,142063.74136352964,145881.8581485266,144007.5215660228,2.687608216108228,5
2024,123789.40193066876,149320.10805645588,147369.54367939493,20.624306869247345,5
2018,112476.3319,117222.06859863541,120055.51756967283,4.219320294739637,6
2019,119576.7158,120562.43397122092,119953.47010424716,0.8243395586057023,6
2020,132498.4,131603.08779779688,130448.99617349711,-0.6757154820006273,6
2021,117548.73689100001,125324.99584441501,127853.03195383243,6.61534879836756,6
2022,127484.86680398165,103522.6246989329,105389.10344923507,-18.796146323698682,6
2023,142063.74136352964,145382.37598028622,143454.0180561014,2.3360180331056135,6
2024,123789.40193066876,148140.16147274227,146784.49816925346,19.67111817513405,6
2018,112476.3319,115171.04066276952,119181.2787078731,2.3958007140251647,7
2019,119576.7158,124856.55342552472,120725.85952444063,4.415439569653001,7
2020,132498.4,133077.60967771817,130818.33611191709,0.43714465813788905,7
2021,117548.73689100001,125193.73773920372,127998.66695775939,6.5036860883437075,7
2022,127484.86680398165,103597.61500448496,105078.60264824652,-18.73732341598261,7
2023,142063.74136352964,144454.12430753224,143192.29997321306,1.682612974330877,7
2024,123789.40193066876,145250.3406414163,145853.1525338579,17.33665271504199,7
2018,112476.3319,118089.19668008927,118745.87515675281,4.9902630049133645,8
2019,119576.7158,123762.70454048709,121640.29990282013,3.5006721103533422,8
2020,132498.4,134346.85027660057,131821.62645432111,1.395073658701218,8
2021,117548.73689100001,124707.47770660599,127991.40931488543,6.090019344269182,8
2022,127484.86680398165,104480.70323339614,104936.00675589907,-18.04462297941315,8
2023,142063.74136352964,142028.98223499008,142956.46772841868,-0.024467276594253295,8
2024,123789.40193066876,146436.36900103328,145611.75249687678,18.294754411244753,8
2018,112476.3319,118146.56464281007,118811.00793857318,5.041267480034239,9
2019,119576.7158,121932.57995021775,121950.05102903709,1.9701696391779988,9
2020,132498.4,135147.00852784934,132829.73633117008,1.9989739708927257,9
2021,117548.73689100001,126688.9705399308,128151.68833362721,7.77569703484462,9
2022,127484.86680398165,105222.40999619874,104999.09164413295,-17.462823130225537,9
2023,142063.74136352964,138771.07531557887,142277.65470456926,-2.3177385139569906,9
2024,123789.40193066876,143964.882665744,145627.02900130764,16.298229428699408,9
2018,112476.3319,117150.31871551913,118809.37358371775,4.155529200289587,10
2019,119576.7158,122628.95747576421,121947.62672010472,2.552538473183419,10
2020,132498.4,135114.28301518317,133495.5199859653,1.9742751725176921,10
2021,117548.73689100001,129444.41891007285,128684.05361835493,10.119787190995865,10
2022,127484.86680398165,107411.7454370524,105616.07688942198,-15.74549346142653,10
2023,142063.74136352964,137634.7044433952,141509.8377481937,-3.1176406292165004,10
2024,123789.40193066876,149403.89513745264,146020.74005386108,20.691992050442167,10
2018,112476.3319,114873.99118829795,118543.78997280171,2.1317011746343706,11
2019,119576.7158,120696.82902804998,121584.43184633987,0.9367318884417664,11
2020,132498.4,134574.21048999025,134081.9580730782,1.5666683446669882,11
2021,117548.73689100001,129387.86822302433,129073.24340362778,10.071678901154367,11
2022,127484.86680398165,110912.38929070064,106867.05166167665,-12.99956451989125,11
2023,142063.74136352964,138104.62187042704,140779.91628484434,-2.786861344846281,11
2024,123789.40193066876,149245.66250118488,146565.2191449023,20.56416799297045,11
2018,112476.3319,119045.42231454911,118761.70177907399,5.84042020537221,12
2019,119576.7158,122260.93849740419,121636.73413838581,2.2447703797900953,12
2020,132498.4,134472.20127238613,134318.27131118547,1.489679326230453,12
