horizon_k,n,урожайность_RMSE_ц_га,сбор_MAE_тыс_т,сбор_RMSE_тыс_т,сбор_R2,сбор_MAPE_%,эталон_RMSE_тыс_т,выигрыш_vs_эталон_%,предел_декомпозиции_RMSE,страна_MAPE_%,страна_Bias_тыс_т
1,459,5.265,286.2,560.3,0.9549,18.8,560.3,0.0,63.8,7.22,2105.7
2,459,5.368,291.6,572.7,0.9529,19.15,567.6,-0.89,63.8,7.43,2649.2
3,459,5.357,289.4,580.3,0.9517,19.1,556.3,-4.31,63.8,7.61,3218.9
4,459,5.415,291.4,576.3,0.9523,19.27,548.9,-5.0,63.8,7.69,2892.3
5,459,5.413,288.8,567.5,0.9538,19.39,542.7,-4.57,63.8,7.55,2807.6
6,459,5.394,285.9,561.1,0.9548,19.07,537.3,-4.42,63.8,7.59,2331.4
7,459,5.217,279.4,541.5,0.9579,18.76,531.3,-1.92,63.8,7.36,2309.0
8,459,5.235,275.9,529.2,0.9598,18.61,524.0,-1.0,63.8,7.48,2630.6
9,459,5.064,260.3,500.3,0.9641,17.68,514.4,2.73,63.8,7.55,2062.2
10,459,5.186,254.4,491.3,0.9654,17.66,500.9,1.92,63.8,8.34,3335.7
11,459,4.978,235.1,463.2,0.9692,16.59,485.9,4.67,63.8,7.29,3193.9
12,459,4.89,236.1,460.5,0.9696,16.42,470.8,2.19,63.8,7.92,3603.4
13,459,4.801,227.6,449.1,0.971,16.1,454.7,1.23,63.8,6.89,3008.0
14,459,4.682,220.2,440.2,0.9722,15.98,439.6,-0.15,63.8,7.18,4311.3
15,459,4.768,227.0,445.9,0.9715,16.11,435.8,-2.32,63.8,6.86,2555.1
16,459,4.703,227.3,439.3,0.9723,15.81,427.5,-2.76,63.8,7.05,2269.6
17,459,4.69,225.7,434.0,0.973,15.98,423.9,-2.39,63.8,6.83,2604.5
18,459,4.661,222.1,434.1,0.9729,15.63,423.8,-2.41,63.8,6.61,2241.1
19,459,4.769,224.5,435.7,0.9727,16.11,427.3,-1.97,63.8,7.27,2611.6
20,459,4.711,225.0,438.6,0.9724,15.97,435.5,-0.71,63.8,6.66,1841.0
21,459,4.747,229.3,443.9,0.9717,16.05,445.2,0.28,63.8,6.9,1900.0
22,459,4.764,234.1,457.1,0.97,16.19,453.3,-0.84,63.8,7.09,2283.6
23,459,4.782,230.6,450.6,0.9708,16.02,461.7,2.4,63.8,7.1,1603.5
