scheme,variable,period,lag_index,weight,beta
beta,t2m_c,4,0,1.5569480575654396e-18,-6.0712789243654965
beta,t2m_c,5,1,0.12488488460313094,-6.0712789243654965
beta,t2m_c,6,2,0.34167089457122185,-6.0712789243654965
beta,t2m_c,7,3,0.3697875345883819,-6.0712789243654965
beta,t2m_c,8,4,0.16365668623726531,-6.0712789243654965
beta,t2m_c,9,5,5.656774485671562e-17,-6.0712789243654965
beta,swvl1_m3m3,4,0,2.103288459849409e-22,2.203643077508773
beta,swvl1_m3m3,5,1,0.436204916702163,2.203643077508773
beta,swvl1_m3m3,6,2,0.46914436785690794,2.203643077508773
beta,swvl1_m3m3,7,3,0.09293039553390893,2.203643077508773
beta,swvl1_m3m3,8,4,0.0017203199070201058,2.203643077508773
beta,swvl1_m3m3,9,5,2.3886724686266895e-54,2.203643077508773
beta,ssrd_mj_m2,4,0,0.4000644916341153,-1.2060435176796693
beta,ssrd_mj_m2,5,1,5.131267190309269e-08,-1.2060435176796693
beta,ssrd_mj_m2,6,2,3.503168519798096e-08,-1.2060435176796693
beta,ssrd_mj_m2,7,3,3.5345528067667106e-08,-1.2060435176796693
beta,ssrd_mj_m2,8,4,5.290150469695397e-08,-1.2060435176796693
beta,ssrd_mj_m2,9,5,0.5999353337744948,-1.2060435176796693
beta,tp_mm,4,0,0.0,-0.7641241099909905
beta,tp_mm,5,1,3.803912857306734e-25,-0.7641241099909905
beta,tp_mm,6,2,3.838494803484853e-08,-0.7641241099909905
beta,tp_mm,7,3,0.4477746958033936,-0.7641241099909905
beta,tp_mm,8,4,0.5522252658116583,-0.7641241099909905
beta,tp_mm,9,5,1.6808983911482537e-198,-0.7641241099909905
beta,pev_mm,4,0,0.5186686252164657,2.767577702413271
beta,pev_mm,5,1,0.171833563578984,2.767577702413271
beta,pev_mm,6,2,0.1379955182026621,2.767577702413271
beta,pev_mm,7,3,0.10468427792089627,2.767577702413271
beta,pev_mm,8,4,0.06681617888120374,2.767577702413271
beta,pev_mm,9,5,1.836199788180674e-06,2.767577702413271
almon,t2m_c,4,0,0.018838813450473408,-6.157903273878654
almon,t2m_c,5,1,0.1261973740018184,-6.157903273878654
almon,t2m_c,6,2,0.3345187632947467,-6.157903273878654
almon,t2m_c,7,3,0.3508843831581387,-6.157903273878654
almon,t2m_c,8,4,0.14564010678010944,-6.157903273878654
almon,t2m_c,9,5,0.02392055931471332,-6.157903273878654
almon,swvl1_m3m3,4,0,6.607379872682085e-09,2.115546082806208
almon,swvl1_m3m3,5,1,0.4963570245162976,2.115546082806208
almon,swvl1_m3m3,6,2,0.5036429619736851,2.115546082806208
almon,swvl1_m3m3,7,3,6.902637505834835e-09,2.115546082806208
almon,swvl1_m3m3,8,4,1.2778240710306076e-24,2.115546082806208
almon,swvl1_m3m3,9,5,3.195146410053621e-48,2.115546082806208
almon,ssrd_mj_m2,4,0,0.37182377647647347,-1.2342877306311588
almon,ssrd_mj_m2,5,1,6.034856987593877e-16,-1.2342877306311588
almon,ssrd_mj_m2,6,2,2.56216048544016e-23,-1.2342877306311588
almon,ssrd_mj_m2,7,3,2.8454777657030035e-23,-1.2342877306311588
almon,ssrd_mj_m2,8,4,8.266346104400145e-16,-1.2342877306311588
almon,ssrd_mj_m2,9,5,0.6281762235235251,-1.2342877306311588
almon,tp_mm,4,0,6.72854439825498e-07,-0.8765315106799233
almon,tp_mm,5,1,0.0002948551738481683,-0.8765315106799233
almon,tp_mm,6,2,0.02155127855198093,-0.8765315106799233
almon,tp_mm,7,3,0.2627326128108236,-0.8765315106799233
almon,tp_mm,8,4,0.5342340766461696,-0.8765315106799233
almon,tp_mm,9,5,0.1811865039627379,-0.8765315106799233
almon,pev_mm,4,0,0.536304259665975,2.768691289060106
almon,pev_mm,5,1,0.2729347968966645,2.768691289060106
almon,pev_mm,6,2,0.1218066834304729,2.768691289060106
almon,pev_mm,7,3,0.047670299125535,2.768691289060106
almon,pev_mm,8,4,0.01636022169274528,2.768691289060106
almon,pev_mm,9,5,0.004923739188607486,2.768691289060106
