variable,period,lag_index,lower_5%,median,upper_95%
t2m_c,4,0,4.824437348186093e-30,3.611410339594161e-17,0.0980611528675226
t2m_c,5,1,0.0707946026306585,0.14680486357694283,0.23602472193655957
t2m_c,6,2,0.2104331163125119,0.33649557889322923,0.4230883146417002
t2m_c,7,3,0.21025444692839146,0.349559906922409,0.43115625315598316
t2m_c,8,4,0.0788076137939428,0.16365129238243623,0.2574893824781882
t2m_c,9,5,2.716848262399026e-29,1.4171547531933468e-16,0.1119829514210413
swvl1_m3m3,4,0,2.654948506e-315,7.317664623842279e-27,0.5507917473337569
swvl1_m3m3,5,1,5.488754911487358e-08,0.3870047094405635,0.6103525075681255
swvl1_m3m3,6,2,6.116281823931859e-08,0.4285808701816358,0.6381733562319494
swvl1_m3m3,7,3,7.916514842778874e-09,0.06924400280521832,0.263959508254554
swvl1_m3m3,8,4,1.7969280215709895e-27,0.0010428565243773085,0.5953647174457152
swvl1_m3m3,9,5,0.0,2.6840174242344645e-45,0.47030244622297646
ssrd_mj_m2,4,0,2.082302065e-315,0.4251047099977384,0.6411590719926307
ssrd_mj_m2,5,1,4.5268528093657965e-17,1.6709797471536423e-07,0.00015614402375632643
ssrd_mj_m2,6,2,2.2834143598485627e-10,1.5118113301635598e-07,0.006625743418292005
ssrd_mj_m2,7,3,2.0022694719252308e-08,1.5467939915689472e-07,0.011078962511480352
ssrd_mj_m2,8,4,1.698541930450474e-08,2.2667708362557716e-07,0.007630592240710819
ssrd_mj_m2,9,5,0.2921974539048976,0.5675003009680648,0.964075955212292
tp_mm,4,0,0.0,8.323639555003841e-12,0.9999996216032103
tp_mm,5,1,1.3148573043021512e-37,0.021355100430122308,0.49301298840354046
tp_mm,6,2,6.1638881091589895e-18,0.09989665499439632,0.5329058310877748
tp_mm,7,3,2.6458014642342085e-09,0.16207206154120649,0.4440962292009035
tp_mm,8,4,7.270530923523297e-30,0.21349076665878503,0.6536195336044163
tp_mm,9,5,0.0,0.012221335321521629,0.5003137383361675
pev_mm,4,0,4.464473194185245e-279,0.4796229820908886,0.9783368255727891
pev_mm,5,1,6.2493085238323844e-24,0.16556676108533377,0.4540700063245256
pev_mm,6,2,2.3643426786757296e-14,0.13004540869661088,0.19695785786860645
pev_mm,7,3,1.0537494857607927e-16,0.10436637419346191,0.42008492904402095
pev_mm,8,4,2.338297179125555e-31,0.06654051222668927,0.13502084926870284
pev_mm,9,5,0.0,4.221395404194664e-05,0.019678870801811597
