horizon_k,horizon_label,model_id,n,mae,rmse,r2,bias,mape
1,периоды 1–1 из 6,ar_only,645,4.0779127546770395,5.406736986165713,0.8250859407611232,0.47534507581493446,16.864164230899807
1,периоды 1–1 из 6,midas_umidas,645,4.224047580877168,5.582044106961212,0.813559285343324,0.8515283100879585,17.731429091976686
1,периоды 1–1 из 6,seasonal_within,645,4.224047580877168,5.582044106961212,0.813559285343324,0.8515283100879585,17.731429091976686
1,периоды 1–1 из 6,naive_prev_year,645,4.633137140106546,6.189982209701977,0.7707374951276851,-0.9739797860102326,17.681257474089414
2,периоды 1–2 из 6,seasonal_within,645,3.900172305112124,5.265400674495054,0.8341111941490551,0.20516662292387366,15.92184517413052
2,периоды 1–2 из 6,ar_only,645,4.0779127546770395,5.406736986165713,0.8250859407611232,0.47534507581493446,16.864164230899807
2,периоды 1–2 из 6,midas_umidas,645,4.350583583132729,5.864535304707833,0.7942113388793633,-0.2788791077422641,17.002347457665337
2,периоды 1–2 из 6,naive_prev_year,645,4.633137140106546,6.189982209701977,0.7707374951276851,-0.9739797860102326,17.681257474089414
3,периоды 1–3 из 6,seasonal_within,645,3.8052391461484705,5.186784439548186,0.8390278925090958,0.40787551868386784,15.567167233701323
3,периоды 1–3 из 6,ar_only,645,4.0779127546770395,5.406736986165713,0.8250859407611232,0.47534507581493446,16.864164230899807
3,периоды 1–3 из 6,midas_umidas,645,4.059173869016587,5.507844041589582,0.8184829184728406,-0.00944673592019069,15.945054657804544
3,периоды 1–3 из 6,naive_prev_year,645,4.633137140106546,6.189982209701977,0.7707374951276851,-0.9739797860102326,17.681257474089414
4,периоды 1–4 из 6,seasonal_within,645,3.6611273438617955,5.032906553297889,0.8484374285027605,0.23671127811858425,14.934591159644258
4,периоды 1–4 из 6,midas_almon,645,3.606860684693831,5.039873857797172,0.8480175067339357,0.25353761581082357,14.454975051681036
4,периоды 1–4 из 6,ar_only,645,4.0779127546770395,5.406736986165713,0.8250859407611232,0.47534507581493446,16.864164230899807
4,периоды 1–4 из 6,midas_beta,645,3.9827277886280967,5.445988480393759,0.8225370616232467,-0.4642951549886613,15.686980803661745
4,периоды 1–4 из 6,midas_umidas,645,4.239093668345584,5.788643732528431,0.799503002145634,-0.36174349799285943,16.78871296335488
4,периоды 1–4 из 6,naive_prev_year,645,4.633137140106546,6.189982209701977,0.7707374951276851,-0.9739797860102326,17.681257474089414
5,периоды 1–5 из 6,midas_beta,645,3.5437546743858914,4.987353119522437,0.851168633679946,0.10178221132702472,14.069327147844715
5,периоды 1–5 из 6,midas_almon,645,3.5728965942052304,5.028471675090026,0.8487044175246778,0.16467379954932693,14.261019925985034
5,периоды 1–5 из 6,seasonal_within,645,3.758918816236867,5.1324890713621,0.8423803720598222,0.4647858176846331,15.51787048915165
5,периоды 1–5 из 6,ar_only,645,4.0779127546770395,5.406736986165713,0.8250859407611232,0.47534507581493446,16.864164230899807
5,периоды 1–5 из 6,midas_umidas,645,4.281573185090582,5.828344158153783,0.796743422513122,-0.41982279459567234,16.94476982396028
5,периоды 1–5 из 6,naive_prev_year,645,4.633137140106546,6.189982209701977,0.7707374951276851,-0.9739797860102326,17.681257474089414
6,периоды 1–6 из 6,midas_beta,645,3.662868762407544,5.102885091453024,0.8441934148557907,0.2489132863852158,14.749277222101597
6,периоды 1–6 из 6,midas_almon,645,3.7377140596892637,5.195241364811722,0.838502542398505,0.30081903279911487,14.985336045205083
6,периоды 1–6 из 6,ar_only,645,4.0779127546770395,5.406736986165713,0.8250859407611232,0.47534507581493446,16.864164230899807
6,периоды 1–6 из 6,midas_umidas,645,4.156242837829181,5.638719211322214,0.8097541600486058,-0.32251744318334175,16.34704782450916
6,периоды 1–6 из 6,seasonal_within,645,4.331724605303012,5.8611777798322136,0.7944469049478043,1.0474564473725791,17.962544568946882
6,периоды 1–6 из 6,naive_prev_year,645,4.633137140106546,6.189982209701977,0.7707374951276851,-0.9739797860102326,17.681257474089414
