scheme,variable,period,lag_index,weight,beta
beta,ndvi,13,0,1.0,1.5185097759499382
beta,ndvi,14,1,1.3785256125759913e-67,1.5185097759499382
beta,ndvi,15,2,4.957532278793171e-131,1.5185097759499382
beta,ndvi,16,3,1.3693478579487177e-197,1.5185097759499382
beta,ndvi,17,4,1.093801920655406e-267,1.5185097759499382
beta,ndvi,18,5,0.0,1.5185097759499382
beta,ndvi,19,6,0.0,1.5185097759499382
beta,ndvi,20,7,0.0,1.5185097759499382
beta,ndvi,21,8,0.0,1.5185097759499382
beta,ndvi,22,9,0.0,1.5185097759499382
beta,ndvi,23,10,0.0,1.5185097759499382
beta,ndvi,24,11,0.0,1.5185097759499382
beta,ndvi,25,12,0.0,1.5185097759499382
beta,ndvi,26,13,0.0,1.5185097759499382
beta,ndvi,27,14,0.0,1.5185097759499382
beta,ndvi,28,15,0.0,1.5185097759499382
beta,ndvi,29,16,0.0,1.5185097759499382
beta,ndvi,30,17,0.0,1.5185097759499382
beta,ndvi,31,18,0.0,1.5185097759499382
beta,ndvi,32,19,0.0,1.5185097759499382
beta,ndvi,33,20,0.0,1.5185097759499382
beta,ndvi,34,21,0.0,1.5185097759499382
beta,ndvi,35,22,0.0,1.5185097759499382
beta,evi,13,0,3.79312714159904e-18,8.202938449960955
beta,evi,14,1,0.002220745491219846,8.202938449960955
beta,evi,15,2,0.009183197759832267,8.202938449960955
beta,evi,16,3,0.019890759787000594,8.202938449960955
beta,evi,17,4,0.03291611117468142,8.202938449960955
beta,evi,18,5,0.04681516499920374,8.202938449960955
beta,evi,19,6,0.06026980178451804,8.202938449960955
beta,evi,20,7,0.07215827910989549,8.202938449960955
beta,evi,21,8,0.08159292416448066,8.202938449960955
beta,evi,22,9,0.08793913275226037,8.202938449960955
beta,evi,23,10,0.09082192258846533,8.202938449960955
beta,evi,24,11,0.09012317590519234,8.202938449960955
beta,evi,25,12,0.08597120410563026,8.202938449960955
beta,evi,26,13,0.078723410698936,8.202938449960955
beta,evi,27,14,0.06894223827786873,8.202938449960955
beta,evi,28,15,0.05736407018115136,8.202938449960955
beta,evi,29,16,0.04486017623412293,8.202938449960955
beta,evi,30,17,0.032387968383404506,8.202938449960955
beta,evi,31,18,0.020929435393148697,8.202938449960955
beta,evi,32,19,0.011410856971226938,8.202938449960955
beta,evi,33,20,0.004591365090580164,8.202938449960955
beta,evi,34,21,0.0008880591471802059,8.202938449960955
beta,evi,35,22,1.4810865244111908e-20,8.202938449960955
almon,ndvi,13,0,0.0037474188575231885,-6.94774734008939
almon,ndvi,14,1,0.005451029756546966,-6.94774734008939
almon,ndvi,15,2,0.007731416716965858,-6.94774734008939
almon,ndvi,16,3,0.01069236622864161,-6.94774734008939
almon,ndvi,17,4,0.014418589692899794,-6.94774734008939
almon,ndvi,18,5,0.018958586547949303,-6.94774734008939
almon,ndvi,19,6,0.024306551187160838,-6.94774734008939
almon,ndvi,20,7,0.030386098596725617,-6.94774734008939
almon,ndvi,21,8,0.037039128348261216,-6.94774734008939
almon,ndvi,22,9,0.04402311681356074,-6.94774734008939
almon,ndvi,23,10,0.05101936286567633,-6.94774734008939
almon,ndvi,24,11,0.057653209461461366,-6.94774734008939
almon,ndvi,25,12,0.06352521755660585,-6.94774734008939
almon,ndvi,26,13,0.06825006159491982,-6.94774734008939
almon,ndvi,27,14,0.07149804198491201,-6.94774734008939
almon,ndvi,28,15,0.07303305433483116,-6.94774734008939
almon,ndvi,29,16,0.07274095412367092,-6.94774734008939
almon,ndvi,30,17,0.07064358606119028,-6.94774734008939
almon,ndvi,31,18,0.06689608395211495,-6.94774734008939
almon,ndvi,32,19,0.06176790445529566,-6.94774734008939
almon,ndvi,33,20,0.055610814297620534,-6.94774734008939
almon,ndvi,34,21,0.04881910974565915,-6.94774734008939
almon,ndvi,35,22,0.04178829681980703,-6.94774734008939
almon,evi,13,0,0.016304245647272467,15.576071998055808
almon,evi,14,1,0.020703879971602036,15.576071998055808
almon,evi,15,2,0.025705003512456442,15.576071998055808
almon,evi,16,3,0.031203153601088843,15.576071998055808
almon,evi,17,4,0.03703345282196833,15.576071998055808
almon,evi,18,5,0.04297390476819807,15.576071998055808
almon,evi,19,6,0.04875625320362968,15.576071998055808
almon,evi,20,7,0.05408423928523148,15.576071998055808
almon,evi,21,8,0.05865783403846253,15.576071998055808
almon,evi,22,9,0.06220083494714098,15.576071998055808
almon,evi,23,10,0.06448835539050432,15.576071998055808
almon,evi,24,11,0.06537042126431354,15.576071998055808
almon,evi,25,12,0.06478823681251006,15.576071998055808
almon,evi,26,13,0.06278066813355863,15.576071998055808
almon,evi,27,14,0.05947995081843984,15.576071998055808
almon,evi,28,15,0.0550972804854127,15.576071998055808
almon,evi,29,16,0.04990046825069983,15.576071998055808
almon,evi,30,17,0.04418694472937639,15.576071998055808
almon,evi,31,18,0.03825588220150078,15.576071998055808
almon,evi,32,19,0.03238302121791343,15.576071998055808
almon,evi,33,20,0.02680102491097957,15.576071998055808
almon,evi,34,21,0.021687042747922707,15.576071998055808
almon,evi,35,22,0.017157901239817388,15.576071998055808
