region,year,period,sensor,ndvi,evi,n_pixels,n_parts
Алтайский край,2012,13,viirs,0.2499003342022657,0.10520065967108617,381760,1
Алтайский край,2012,14,viirs,0.2763376367806762,0.12978685831960515,326724,1
Алтайский край,2012,15,viirs,0.29415806841266307,0.13682117431935467,406228,1
Алтайский край,2012,16,viirs,0.3261066734506267,0.1554899703870257,404475,1
Алтайский край,2012,17,viirs,0.34988387672785515,0.17643305877789087,411524,1
Алтайский край,2012,18,viirs,0.40546769150170603,0.2040587698851137,414459,1
Алтайский край,2012,19,viirs,0.41165056873302974,0.21035728912939436,413130,1
Алтайский край,2012,20,viirs,0.4475852420954022,0.24287081512009454,340017,1
Алтайский край,2012,21,viirs,0.5169543316680243,0.28563034229348006,240903,1
Алтайский край,2012,22,viirs,0.6178855734290455,0.36199268645545496,289876,1
Алтайский край,2012,23,viirs,0.620396197399171,0.36307723965282773,307249,1
Алтайский край,2012,24,viirs,0.6488270636262994,0.38696097099727755,276650,1
Алтайский край,2012,25,viirs,0.6285077543568869,0.3788047088840536,369464,1
Алтайский край,2012,26,viirs,0.537638015559571,0.3349717330911019,226366,1
Алтайский край,2012,27,viirs,0.5029642292186886,0.29010265551222275,394670,1
Алтайский край,2012,28,viirs,0.4916335687117844,0.2816850459774622,403910,1
Алтайский край,2012,29,viirs,0.45514979557117774,0.25999722169530376,370033,1
Алтайский край,2012,30,viirs,0.4429003125295522,0.23234163348565562,414948,1
Алтайский край,2012,31,viirs,0.4461216276306567,0.23270671822956088,415181,1
Алтайский край,2012,32,viirs,0.41911812210768234,0.21865149329404518,414098,1
Алтайский край,2012,33,viirs,0.3589105327913628,0.18159099065526965,247050,1
Алтайский край,2012,34,viirs,0.3791922347938499,0.1853630292996197,371457,1
Алтайский край,2012,35,viirs,0.37711174634642214,0.17918694678762206,406653,1
Алтайский край,2013,13,viirs,0.12267793688308762,0.06596371443319125,82596,1
Алтайский край,2013,14,viirs,0.2560135098241585,0.11934538035331968,140253,1
Алтайский край,2013,15,viirs,0.3048917009166848,0.13663344974194125,129136,1
Алтайский край,2013,16,viirs,0.3451284982089092,0.17632706606504828,169786,1
Алтайский край,2013,17,viirs,0.36379243720785354,0.17866835118135765,261442,1
Алтайский край,2013,18,viirs,0.4230371281027816,0.2226664086294062,348786,1
Алтайский край,2013,19,viirs,0.44605729616163303,0.2407126490426583,341315,1
Алтайский край,2013,20,viirs,0.4896759739848236,0.26496742934259326,136792,1
Алтайский край,2013,21,viirs,0.612821121313518,0.350000713235843,385501,1
Алтайский край,2013,22,viirs,0.6405665667756839,0.3835737408790904,414493,1
Алтайский край,2013,23,viirs,0.6399938208060164,0.3940171245899783,382656,1
Алтайский край,2013,24,viirs,0.7400690159171978,0.4887706510208479,407530,1
Алтайский край,2013,25,viirs,0.7438065336021141,0.49149699060320695,407833,1
Алтайский край,2013,26,viirs,0.7605450856070424,0.5101198912010496,197773,1
Алтайский край,2013,27,viirs,0.6552237892871219,0.40669889789646013,93939,1
Алтайский край,2013,28,viirs,0.6300279798571593,0.37067966474427,367414,1
Алтайский край,2013,29,viirs,0.6179759326289485,0.36058189260747686,377600,1
Алтайский край,2013,30,viirs,0.5665460995221333,0.33175690742626696,408571,1
Алтайский край,2013,31,viirs,0.5608857515972449,0.3308924053731384,413846,1
Алтайский край,2013,32,viirs,0.49501713451984286,0.295093260054945,267056,1
Алтайский край,2013,33,viirs,0.4054255405331127,0.22550355376962436,410449,1
Алтайский край,2013,34,viirs,0.40021064670117185,0.22000772423168494,413969,1
Алтайский край,2013,35,viirs,0.3761195926653376,0.19644774244239085,407422,1
Алтайский край,2014,13,viirs,0.26797098318073487,0.12341805945664545,271920,1
Алтайский край,2014,14,viirs,0.2747621501180844,0.1292611758600768,302424,1
Алтайский край,2014,15,viirs,0.320819932337625,0.16223736752971246,408471,1
Алтайский край,2014,16,viirs,0.33194060653231117,0.1669382754565976,407255,1
Алтайский край,2014,17,viirs,0.35712228972813953,0.1796377126449233,367013,1
Алтайский край,2014,18,viirs,0.3581609478527931,0.18465152511481606,340945,1
Алтайский край,2014,19,viirs,0.3936722102878832,0.22534799083681958,233658,1
Алтайский край,2014,20,viirs,0.5335767725864808,0.30051404630321543,414995,1
Алтайский край,2014,21,viirs,0.5863659986007848,0.34327881470039745,415136,1
Алтайский край,2014,22,viirs,0.6344489196817769,0.3878933126367263,403976,1
Алтайский край,2014,23,viirs,0.6689564909795339,0.423002717561392,414401,1
Алтайский край,2014,24,viirs,0.6680422637817689,0.42493830782777564,407341,1
Алтайский край,2014,25,viirs,0.6656636878231696,0.4352800890693406,326476,1
Алтайский край,2014,26,viirs,0.6673060172877071,0.419762121521122,341434,1
Алтайский край,2014,27,viirs,0.6255091448991008,0.37831134988106085,394254,1
Алтайский край,2014,28,viirs,0.6164182206261654,0.3709506031074835,388416,1
Алтайский край,2014,29,viirs,0.579379731761425,0.3317988249898926,395888,1
Алтайский край,2014,30,viirs,0.5621827490930026,0.32247077329650425,408220,1
Алтайский край,2014,31,viirs,0.5114091893051771,0.2877103474667813,412204,1
Алтайский край,2014,32,viirs,0.4573240201959107,0.27372533712647185,397411,1
Алтайский край,2014,33,viirs,0.42566150211237225,0.22972631862732665,404781,1
Алтайский край,2014,34,viirs,0.4080106343411508,0.2169666340032498,390127,1
Алтайский край,2014,35,viirs,0.32171847132275827,0.17390275949164205,41079,1
Алтайский край,2015,13,viirs,0.1953140561580733,0.09038759437336026,52318,1
Алтайский край,2015,14,viirs,0.28064644177846865,0.12527080737785465,343247,1
Алтайский край,2015,15,viirs,0.3166468723762565,0.15125920066964402,413998,1
Алтайский край,2015,16,viirs,0.368017886645261,0.1891877411057825,413984,1
Алтайский край,2015,17,viirs,0.3818926150065529,0.20100430143499287,355248,1
Алтайский край,2015,18,viirs,0.4725530089541184,0.25945173801500476,285003,1
Алтайский край,2015,19,viirs,0.5493613496508168,0.32303874625778717,415120,1
Алтайский край,2015,20,viirs,0.6032753456687642,0.3642362115630429,415138,1
Алтайский край,2015,21,viirs,0.6891051623957011,0.4355779840610809,415213,1
Алтайский край,2015,22,viirs,0.7020337481672911,0.45125599664567917,415227,1
Алтайский край,2015,23,viirs,0.6713780595644182,0.43124483292605803,415194,1
Алтайский край,2015,24,viirs,0.6789248714715554,0.4489089214884152,353549,1
Алтайский край,2015,25,viirs,0.6882968111001057,0.45074444667113167,406795,1
Алтайский край,2015,26,viirs,0.6639498169497394,0.42158723411094334,408379,1
Алтайский край,2015,27,viirs,0.6021956204930227,0.36606126189496263,390192,1
Алтайский край,2015,28,viirs,0.5690515424523387,0.3300188744745506,413201,1
Алтайский край,2015,29,viirs,0.5376158164985476,0.30211791693377454,413966,1
Алтайский край,2015,30,viirs,0.5156854511190553,0.2878932238529926,412918,1
Алтайский край,2015,31,viirs,0.477235986164399,0.2654824573696469,414644,1
Алтайский край,2015,32,viirs,0.4293991289019769,0.2279303519995243,413832,1
Алтайский край,2015,33,viirs,0.36353698031626824,0.18776810820515336,92073,1
Алтайский край,2015,34,viirs,0.3422198852076683,0.1699463499757054,398156,1
Алтайский край,2015,35,viirs,0.3458415434144566,0.1696663599269818,410468,1
Алтайский край,2016,13,viirs,0.26055073312762,0.1173391149961111,320589,1
Алтайский край,2016,14,viirs,0.2811666264143902,0.13088320462968936,307443,1
Алтайский край,2016,15,viirs,0.35895189443817027,0.1684641208786269,414266,1
