region,year,reason
Алтайский край,2005,неполный набор высокочастотных периодов
Алтайский край,2006,неполный набор высокочастотных периодов
Алтайский край,2007,неполный набор высокочастотных периодов
Алтайский край,2008,неполный набор высокочастотных периодов
Алтайский край,2009,неполный набор высокочастотных периодов
Алтайский край,2010,неполный набор высокочастотных периодов
Алтайский край,2011,неполный набор высокочастотных периодов
Алтайский край,2017,неполный набор высокочастотных периодов
Амурская область,2005,неполный набор высокочастотных периодов
Амурская область,2006,неполный набор высокочастотных периодов
Амурская область,2007,неполный набор высокочастотных периодов
Амурская область,2008,неполный набор высокочастотных периодов
Амурская область,2009,неполный набор высокочастотных периодов
Амурская область,2010,неполный набор высокочастотных периодов
Амурская область,2011,неполный набор высокочастотных периодов
Амурская область,2017,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2005,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2006,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2007,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2008,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2009,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2010,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2011,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2012,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2015,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2017,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2018,неполный набор высокочастотных периодов
Архангельская область без автономного округа,2019,неполный набор высокочастотных периодов
Астраханская область,2005,неполный набор высокочастотных периодов
Астраханская область,2006,неполный набор высокочастотных периодов
Астраханская область,2007,неполный набор высокочастотных периодов
Астраханская область,2008,неполный набор высокочастотных периодов
Астраханская область,2009,неполный набор высокочастотных периодов
Астраханская область,2010,неполный набор высокочастотных периодов
Астраханская область,2011,неполный набор высокочастотных периодов
Астраханская область,2017,неполный набор высокочастотных периодов
Белгородская область,2005,неполный набор высокочастотных периодов
Белгородская область,2006,неполный набор высокочастотных периодов
Белгородская область,2007,неполный набор высокочастотных периодов
Белгородская область,2008,неполный набор высокочастотных периодов
Белгородская область,2009,неполный набор высокочастотных периодов
Белгородская область,2010,неполный набор высокочастотных периодов
Белгородская область,2011,неполный набор высокочастотных периодов
Белгородская область,2017,неполный набор высокочастотных периодов
Брянская область,2005,неполный набор высокочастотных периодов
Брянская область,2006,неполный набор высокочастотных периодов
Брянская область,2007,неполный набор высокочастотных периодов
Брянская область,2008,неполный набор высокочастотных периодов
Брянская область,2009,неполный набор высокочастотных периодов
Брянская область,2010,неполный набор высокочастотных периодов
Брянская область,2011,неполный набор высокочастотных периодов
Брянская область,2017,неполный набор высокочастотных периодов
Владимирская область,2005,неполный набор высокочастотных периодов
Владимирская область,2006,неполный набор высокочастотных периодов
Владимирская область,2007,неполный набор высокочастотных периодов
Владимирская область,2008,неполный набор высокочастотных периодов
Владимирская область,2009,неполный набор высокочастотных периодов
Владимирская область,2010,неполный набор высокочастотных периодов
Владимирская область,2011,неполный набор высокочастотных периодов
Владимирская область,2013,неполный набор высокочастотных периодов
Владимирская область,2017,неполный набор высокочастотных периодов
Владимирская область,2022,неполный набор высокочастотных периодов
Волгоградская область,2005,неполный набор высокочастотных периодов
Волгоградская область,2006,неполный набор высокочастотных периодов
Волгоградская область,2007,неполный набор высокочастотных периодов
Волгоградская область,2008,неполный набор высокочастотных периодов
Волгоградская область,2009,неполный набор высокочастотных периодов
Волгоградская область,2010,неполный набор высокочастотных периодов
Волгоградская область,2011,неполный набор высокочастотных периодов
Волгоградская область,2017,неполный набор высокочастотных периодов
Вологодская область,2005,неполный набор высокочастотных периодов
Вологодская область,2006,неполный набор высокочастотных периодов
Вологодская область,2007,неполный набор высокочастотных периодов
Вологодская область,2008,неполный набор высокочастотных периодов
Вологодская область,2009,неполный набор высокочастотных периодов
