horizon_k,horizon_label,model_id,n,mae,rmse,r2,bias,mape,ss_vs_ar_%,прирост_к_пред_отсечке_%
1,периоды 1–1 из 23,midas_umidas,531,4.066578922037979,5.497442803376604,0.8139582852074911,0.2988570391733523,16.050557804417693,0.39,
2,периоды 1–2 из 23,midas_umidas,531,4.148084869034303,5.5833276148901945,0.8080999365032417,0.4156925696170686,16.349790484368622,-1.17,-1.56
3,периоды 1–3 из 23,midas_umidas,531,4.140451930184434,5.564180158904656,0.8094138832334696,0.5344050532359709,16.396069436062767,-0.82,0.35
4,периоды 1–4 из 23,midas_umidas,531,4.168005699192992,5.559022550375804,0.8097670396667471,0.5811009414176783,16.570400452505805,-0.73,0.09
5,периоды 1–5 из 23,midas_almon,531,4.196200920103801,5.5915663934545865,0.8075331817935846,0.44936109217095643,16.593423101543667,-1.32,-0.59
6,периоды 1–6 из 23,midas_umidas,531,4.128649073088175,5.543431055317295,0.8108326431297217,0.3911460244045592,16.27884922234932,-0.44,0.88
7,периоды 1–7 из 23,midas_umidas,531,4.0350739518432075,5.43432093033921,0.8182060357976217,0.36484106180194803,16.041212619886153,1.53,1.97
8,периоды 1–8 из 23,midas_umidas,531,3.996149763728365,5.401893515278179,0.8203691468492231,0.3057515673780837,15.820915659536073,2.12,0.59
9,периоды 1–9 из 23,midas_umidas,531,3.903834982927409,5.307738266337963,0.8265765216647658,0.3416304712558904,15.425760391676613,3.83,1.71
10,периоды 1–10 из 23,midas_umidas,531,3.801788472554031,5.274644308029896,0.8287323842143802,0.38296696300545285,14.954753931052656,4.43,0.6
11,периоды 1–11 из 23,midas_beta,531,3.5288875078248023,5.069502373689099,0.8417952363622341,0.27416156672562003,13.776472055221541,8.14,3.71
12,периоды 1–12 из 23,midas_umidas,531,3.6432670108603205,5.141211236347452,0.8372879222546051,0.41111700249719263,14.221392437115407,6.84,-1.3
13,периоды 1–13 из 23,midas_beta,531,3.5318015506523497,4.999654058648621,0.8461247380850355,0.38447352068152146,13.876702365511093,9.41,2.57
14,периоды 1–14 из 23,midas_beta,531,3.476462124147754,4.904456376209005,0.8519287827346657,0.5114672369690254,13.678889583321213,11.13,1.72
15,периоды 1–15 из 23,midas_beta,531,3.5364222092604214,4.96953072537388,0.8479733747714084,0.3223007313021532,13.903017457160086,9.95,-1.18
16,периоды 1–16 из 23,midas_umidas,531,3.536904584607063,4.931852893421523,0.8502698971757302,0.43992697145827836,13.936300046590064,10.64,0.69
17,периоды 1–17 из 23,midas_beta,531,3.5098846908656505,4.899578804315273,0.8522231553695616,0.28181170167609687,13.806658824133795,11.22,0.58
18,периоды 1–18 из 23,midas_beta,531,3.4619839233071485,4.899110826711654,0.8522513834902604,0.23130719013973491,13.570428712704707,11.23,0.01
19,периоды 1–19 из 23,midas_beta,531,3.5357562439009973,4.975313098035526,0.8476193831853017,0.2752001081938732,13.83156694199264,9.85,-1.38
20,периоды 1–20 из 23,midas_beta,531,3.5075814975423345,4.934131226161842,0.8501315257365595,0.1550126399291368,13.710990989231112,10.6,0.75
21,периоды 1–21 из 23,midas_beta,531,3.4795421705844647,4.9219933410609205,0.8508679669764592,0.22993802712287528,13.597340644112174,10.82,0.22
22,периоды 1–22 из 23,midas_almon,531,3.609287468730416,5.073001251405418,0.84157678093897,0.3579853846027453,14.18113154045777,8.08,-2.74
23,периоды 1–23 из 23,midas_beta,531,3.5640349815950603,4.995014975785308,0.8464101613975371,0.09774938569529676,13.869426813841478,9.49,1.41
