region,year,периодов_получено,ожидалось,полный_сезон
Ханты-Мансийский автономный округ – Югра,2018,2,23,False
Ханты-Мансийский автономный округ – Югра,2017,3,23,False
Ханты-Мансийский автономный округ – Югра,2015,4,23,False
Ханты-Мансийский автономный округ – Югра,2024,6,23,False
Ханты-Мансийский автономный округ – Югра,2014,7,23,False
Ханты-Мансийский автономный округ – Югра,2019,7,23,False
Ханты-Мансийский автономный округ – Югра,2021,7,23,False
Ханты-Мансийский автономный округ – Югра,2012,9,23,False
Ханты-Мансийский автономный округ – Югра,2022,9,23,False
Ханты-Мансийский автономный округ – Югра,2025,9,23,False
Ханты-Мансийский автономный округ – Югра,2020,11,23,False
Ханты-Мансийский автономный округ – Югра,2013,12,23,False
Ханты-Мансийский автономный округ – Югра,2023,13,23,False
Ханты-Мансийский автономный округ – Югра,2016,15,23,False
г. Москва,2013,18,23,False
Республика Саха (Якутия),2021,19,23,False
Республика Саха (Якутия),2022,19,23,False
г. Москва,2019,19,23,False
Архангельская область без автономного округа,2017,20,23,False
Республика Коми,2017,20,23,False
Республика Коми,2019,20,23,False
Республика Саха (Якутия),2017,20,23,False
Республика Саха (Якутия),2023,20,23,False
г. Москва,2012,20,23,False
Владимирская область,2013,21,23,False
Костромская область,2013,21,23,False
Ленинградская область,2017,21,23,False
Новгородская область,2017,21,23,False
Республика Алтай,2018,21,23,False
Республика Карелия,2017,21,23,False
Республика Коми,2013,21,23,False
Республика Коми,2015,21,23,False
Республика Коми,2018,21,23,False
Республика Коми,2020,21,23,False
Республика Саха (Якутия),2012,21,23,False
Республика Саха (Якутия),2015,21,23,False
Республика Саха (Якутия),2018,21,23,False
Республика Саха (Якутия),2019,21,23,False
Республика Саха (Якутия),2020,21,23,False
Республика Саха (Якутия),2024,21,23,False
Удмуртская Республика,2017,21,23,False
Ярославская область,2019,21,23,False
г. Москва,2016,21,23,False
г. Москва,2017,21,23,False
г. Москва,2020,21,23,False
г. Москва,2021,21,23,False
г. Москва,2024,21,23,False
Алтайский край,2017,22,23,False
Амурская область,2017,22,23,False
Архангельская область без автономного округа,2012,22,23,False
Архангельская область без автономного округа,2015,22,23,False
Архангельская область без автономного округа,2018,22,23,False
Архангельская область без автономного округа,2019,22,23,False
Астраханская область,2017,22,23,False
Белгородская область,2017,22,23,False
Брянская область,2017,22,23,False
Владимирская область,2017,22,23,False
Владимирская область,2022,22,23,False
Волгоградская область,2017,22,23,False
Вологодская область,2012,22,23,False
Вологодская область,2017,22,23,False
Воронежская область,2017,22,23,False
Еврейская автономная область,2017,22,23,False
Забайкальский край,2017,22,23,False
Ивановская область,2013,22,23,False
Ивановская область,2017,22,23,False
Иркутская область,2017,22,23,False
Кабардино-Балкарская Республика,2013,22,23,False
Кабардино-Балкарская Республика,2017,22,23,False
Кабардино-Балкарская Республика,2021,22,23,False
Кабардино-Балкарская Республика,2022,22,23,False
Калининградская область,2017,22,23,False
Калужская область,2017,22,23,False
Карачаево-Черкесская Республика,2017,22,23,False
Карачаево-Черкесская Республика,2022,22,23,False
Карачаево-Черкесская Республика,2023,22,23,False
Карачаево-Черкесская Республика,2024,22,23,False
Кемеровская область,2017,22,23,False
Кировская область,2017,22,23,False
Костромская область,2017,22,23,False
Костромская область,2019,22,23,False
Краснодарский край,2017,22,23,False
Красноярский край,2017,22,23,False
Курганская область,2017,22,23,False
Курганская область,2025,22,23,False
Курская область,2017,22,23,False
Липецкая область,2017,22,23,False
Московская область,2017,22,23,False
Нижегородская область,2017,22,23,False
Новосибирская область,2017,22,23,False
